trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 1.0, 'e': 0.9962703764929413}",20,0,-94.94736448504347,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
111,False,"{'a': 1.0, 'e': 0.9962023000718725}",20,0,-17.930156811588542,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
112,False,"{'a': 1.0, 'e': 0.9961336091431725}",20,0,-145.43236311436166,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
113,False,"{'a': 1.0, 'e': 0.9960643037492132}",25,0,-230.3696483577015,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
114,False,"{'a': 1.0, 'e': 0.9959943839327459}",25,18,-19.60903948589914,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 1.0, 'e': 0.9959238497369003}",25,0,-154.80292793322894,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
116,False,"{'a': 1.0, 'e': 0.9958527012051857}",20,0,-142.1248030838199,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
117,False,"{'a': 1.0, 'e': 0.99578093838149}",25,0,-162.26263521462886,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
118,False,"{'a': 1.0, 'e': 0.9957085613100801}",20,0,-151.32969720242562,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
119,False,"{'a': 1.0, 'e': 0.9956355700356019}",20,0,-178.9545278851084,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
120,False,"{'a': 1.0, 'e': 0.99556196460308}",20,11,-19.021136704431846,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 1.0, 'e': 0.9954877450579179}",20,0,-55.560976285354215,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
122,False,"{'a': 1.0, 'e': 0.9954129114458982}",20,0,-176.72501425629426,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
123,False,"{'a': 1.0, 'e': 0.9953374638131817}",20,0,-161.34015198997844,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
124,False,"{'a': 1.0, 'e': 0.9952614022063083}",25,0,-181.53786437891856,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
125,False,"{'a': 1.0, 'e': 0.9951847266721969}",20,0,-34.21442361147596,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 1.0, 'e': 0.9951074372581447}",20,0,-70.7018482427215,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 1.0, 'e': 0.9950295340118275}",25,0,-105.57602836062375,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
128,False,"{'a': 1.0, 'e': 0.9949510169813002}",25,0,-149.8754406342479,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
129,False,"{'a': 1.0, 'e': 0.9948718862149959}",20,0,-129.47842658336108,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
130,False,"{'a': 1.0, 'e': 0.9947921417617265}",25,0,-127.17104873278787,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
131,False,"{'a': 1.0, 'e': 0.9947117836706824}",20,0,-57.80625437799597,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
132,False,"{'a': 1.0, 'e': 0.9946308119914323}",30,0,-147.39887756364368,"{0: 18, 1: 4, 2: 3, 3: 4, 4: 1}",0
133,False,"{'a': 1.0, 'e': 0.994549226773924}",20,0,-76.51410292247907,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
134,False,"{'a': 1.0, 'e': 0.994467028068483}",30,0,-282.02253487118213,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 5}",0
135,False,"{'a': 1.0, 'e': 0.9943842159258137}",25,0,-201.44902563765868,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
136,False,"{'a': 1.0, 'e': 0.9943007903969989}",20,0,-109.7789519236884,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
137,False,"{'a': 1.0, 'e': 0.9942167515334995}",35,0,-226.0257521800179,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 4}",0
138,False,"{'a': 1.0, 'e': 0.9941320993871551}",20,0,-106.5044078796374,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
